id,title,url,is_paid,price,professor,description,num_subscribers
622414,Taming Big Data with Apache Spark and Python - Hands On!,/taming-big-data-with-apache-spark-hands-on/,True,$100,Frank Kane,New! Updated for Spark 2.0.0,14592
852192,Acumen Presents: Chris Anderson on Public Speaking,/chris-anderson-on-public-speaking/,True,$100,+Acumen Courses,A carefully crafted talk can be the key to unlocking empathy stirring excitement spreading knowledge and promoting a shared dream.  As the Head of TED Chris Anderson knows this firsthand.  He’s had a ringside seat listening to many hundreds of amazing TED speakers including people like Sir Ken Robinson Amy Cuddy Bill Gates Elizabeth Gilbert Salman Khan Amanda Palmer and Monica Lewinsky whose talks have been viewed millions of times. He’s learned that a talk done right can electrify a room and transform an audience’s worldview.,17764
903378,The Python Bible™ | Everything You Need to Program in Python,/the-python-bible/,True,$195,Ziyad Yehia,========================= TESTIMONIALS ===============================,11847
713104,Data Science: Deep Learning in Python,/data-science-deep-learning-in-python/,True,$120,Lazy Programmer Inc.,This course will get you started in building your FIRST artificial neural network using deep learning techniques. Following my previous course on logistic regression we take this basic building block and build full-on non-linear neural networks right out of the gate using Python and Numpy. All the materials for this course are FREE.,11771
422702,AWS Certified SysOps Administrator - Associate 2017,/aws-certified-sysops-administrator-associate/,True,$150,Ryan Kroonenburg,Amazon Web Services (AWS) Certification is fast becoming the must have certificates for any IT professional working with AWS. Are you wondering how to prepare for AWS certification? Well this course is designed to help you pass the AWS Certified SysOps Administrator Associate Exam. This course explores some of the more advanced aspects of the AWS platform from an Administrator point of view and it is recommended that you do this course after completing the AWS Certified Solutions Architect course or AWS Certified Developer Course both of which are available on Udemy and cover the basics of AWS.,29766
951684,Xamarin Forms: Build Native Cross-platform Apps with C#,/xamarin-forms-course/,True,$190,Mosh Hamedani,Do you have an idea for an app and want to turn that into reality? Well if you want to build that app for iOS you need to know Objective-C which is an old C-based language. The alternative is to learn Swift. If you want to build the same app for Android you need to learn Java. And if you want to build this app for Windows of course you need to know C#.,8896
832862,Meteor and React for Realtime Apps,/meteor-react-tutorial/,True,$140,Stephen Grider,This is the tutorial you've been looking for to master building dynamic web apps with Meteor JS with all the most important topics covered in great depth!,5881
1041352,Elevate Your Tennis Game: Learn from Champion Andre Agassi,/andreagassi/,True,$100,Andre Agassi,Boost your tennis game in no time with this course from eight-time Grand Slam champion Andre Agassi. For the first time one of the game’s all-time greats is sharing 20 years of tour experience to help you advance your skills and give back to the game that gave him so much.,6491
1109926,GraphQL with React: The Complete Developers Guide,/graphql-with-react-course/,True,$150,Stephen Grider,Note: This course assumes you are familiar with React!,4129
362328,AWS Certified Solutions Architect - Associate 2017,/aws-certified-solutions-architect-associate/,True,$180,Ryan Kroonenburg,Are you looking for AWS Training?,117156
719002,Angular 2 with TypeScript for Beginners: The Pragmatic Guide,/angular-2-tutorial-for-beginners/,True,$150,Mosh Hamedani, ,19982
196152,Writing With Flair: How To Become An Exceptional Writer,/writing-with-flair-how-to-become-an-exceptional-writer/,True,$200,Shani Raja, ,53476
892806,Apache Spark 2.0 with Scala - Hands On with Big Data!,/apache-spark-with-scala-hands-on-with-big-data/,True,$100,Frank Kane,New! Updated for Spark 2.0.0.,7781
642612,CompTIA Network+ Cert.; N10-006. The Total Course.,/comptia-network-certification-n10-006-the-total-course/,True,$195,Mike Meyers - Total Seminars,Welcome to the CompTIA Network+ Certification; N10-006. The Total Course from Mike Meyers and Total Seminars.,19248
946194,Tableau 10 Advanced Training: Master Tableau in Data Science,/tableau10-advanced/,True,$200,Kirill Eremenko,Ready to take your Tableau skills to the next level?,5599
806626,Acumen Presents: Elizabeth Gilbert's Creativity Workshop,/elizabeth-gilberts-creativity-workshop/,True,$100,+Acumen Courses, ,14244
393306,AWS Certified Developer - Associate 2017,/aws-certified-developer-associate/,True,$150,Ryan Kroonenburg,  	                Amazon Web Services - (AWS) Certification is fast becoming the must have certificate for any IT professional working with AWS. This course is designed to help you pass the AWS Certified Developer Associate (CDA) 2017 Exam. Even if you have never logged in to the AWS platform before by the end of our AWS training videos you will be able to take the CDA exam. No specific programming knowledge is needed (though knowing a language would be advantageous) and no prior AWS experience required. With AWS certification under your belt (and optionally after completing our AWS Certified Solutions Architect course - also available on Udemy) you will be in high demand by many employers and will command a superior salary.,45332
31535,Microsoft Excel 2013 Course Beginners/ Intermediate Training,/microsoft-excel-2013-course-beginners-intermediate-training/,True,$50,Infinite Skills,In this Microsoft Excel 2013 training course expert training provider InfiniteSkills takes you through the basics of the worlds most popular spreadsheet software. Excel can be a complex and confusing program to use but this course breaks it down into bite-sized pieces and teaches it in plain English. No prior experience in Excel 2013 or spreadsheets is required to get the most out of this Excel beginners video training.,32899
922484,The Complete Node.js Developer Course (2nd Edition),/the-complete-nodejs-developer-course-2/,True,$85,Andrew Mead,Are you looking to create real-world Node applications? Maybe you want to switch careers or launch a side-project to generate some extra income. Either way you're in the right place.,16969
614772,The Complete Cyber Security Course : Hackers Exposed!,/the-complete-internet-security-privacy-course-volume-1/,True,$120,Nathan House,,19679
851712,The Complete JavaScript Course: Build a Real-World Project,/the-complete-javascript-course/,True,$195,Jonas Schmedtmann, ,18965
1080408,Artificial Intelligence: Reinforcement Learning in Python,/artificial-intelligence-reinforcement-learning-in-python/,True,$180,Lazy Programmer Inc.,When people talk about artificial intelligence they usually don’t mean supervised and unsupervised machine learning.,2917
995016,Vue JS 2 - The Complete Guide (incl. Vuex),/vuejs-2-the-complete-guide/,True,$190,Maximilian Schwarzmüller,Hear what students are saying about the course:,12770
543600,Automate the Boring Stuff with Python Programming,/automate/,True,$50,Al Sweigart,If you're an office worker student administrator or just want to become more productive with your computer programming will allow you write code that can automate tedious tasks. This course follows the popular (and free!) book Automate the Boring Stuff with Python.,47093
878110,CompTIA A+ Certification 902. The Total Course,/comptia-a-certification-902-the-total-course/,True,$145,Mike Meyers - Total Seminars,,7138
671544,Ultimate Google AdWords Course 2017–Stop SEO & Win With PPC!,/the-ultimate-google-adwords-training-course/,True,$195,Isaac Rudansky,** Updated January 23rd 2017 – Includes fresh content that covers all the latest AdWords updates!! **,31868
450394,Social Media Marketing 2017 - Complete Certificate Course,/learn-social-media-marketing-course/,True,$100,SO ME Academy,THE MOST COMPREHENSIVE BEST-SELLING SOCIAL MEDIA COURSE ON UDEMY - Currently being updated for 2017. Free access to all updates for life!,28909
9385,Microsoft Excel 2010: Advanced Training,/advanced-excel/,True,$50,Infinite Skills,  	   A Verifiable Certificate of Completion is presented to all students who undertake this Excel course.,73255
1105302,AWS Certified Developer - Associate 2017 (Practice Tests),/aws-certified-developer-associate-2017-practice-tests/,True,$100,Ryan Kroonenburg,These quizzes are the final step in your test preparation. They are based on the required supplemental reading detailed in the A Cloud Guru AWS Certified Developer - Associate course and should be taken after having finished both the video lectures and the FAQs/White Papers. As technical information is continuously updated by AWS please refer to the AWS Documentation for the latest information.,1878
866196,The Complete Oracle SQL Certification Course,/the-complete-oracle-sql-certification-course/,True,$195,Imtiaz Ahmad,Get ready to acquire some seriously marketable programming skills! You can't consider yourself a complete end to end developer until you can code in SQL. Today data has become the hottest topic in technology and a company's biggest asset is their data. All databases require the language SQL to store and retrieve data. Salaries for junior level SQL Developers are upwards of $70000 - $90000 dollars a year! The great thing is for this course you do not need any prior experience in programming what so ever. SQL is a different animal and we're going to demystify the language from scratch and prepare you with plenty of progressively challenging assignments so that by the time you've completed the course (in 2 months) you can call your self an Oracle SQL Master! Oracle is the most popular relational database in the world! This course will prepare you to be job-ready in just 1 month of study and practice.,7075
1048360,Landing Page Design & Web Design Fundamentals 2017,/landing-page-design-best-practices/,True,$195,Isaac Rudansky,**Brand New For 2017 - The Bestselling Landing Page Design Course on Udemy**,5628
164554,AngularJS JumpStart with Dan Wahlin,/angularjs-jumpstart/,True,$75,Dan Wahlin,** Updated with new articles about getting started building custom Angular directives! All code samples provided in the course are updated to the latest 1.5 version of Angular and all concepts covered are completely valid for 1.5. **,17526
979552,PMP Exam Prep: Earn Your PMP Certification,/pmp-exam-prep-earn-your-pmp-certification/,True,$200,Joseph Phillips,This course is taught by a PMI Registered Education Provider:,13854
625204,The Web Developer Bootcamp,/the-web-developer-bootcamp/,True,$200,Colt Steele,Hi! Welcome to the Web Developer Bootcamp the only course you need to learn web development. There are a lot of options for online developer training but this course is without a doubt the most comprehensive and effective on the market.  Here's why:,87903
1011712,Bayesian Machine Learning in Python: A/B Testing,/bayesian-machine-learning-in-python-ab-testing/,True,$120,Lazy Programmer Inc.,This course is all about A/B testing.,2784
833442,Angular 2 (or 4) & NodeJS - The Practical MEAN Stack Guide,/angular-2-and-nodejs-the-practical-guide/,True,$150,Maximilian Schwarzmüller,This course is up-to-date to the latest version of Angular (formerly Angular 2): Angular 4.,13676
913448,Python A-Z™: Python For Data Science With Real Exercises!,/python-coding/,True,$200,Kirill Eremenko,Learn Python Programming by doing!,9088
977062,Scala and Spark for Big Data and Machine Learning,/scala-and-spark-for-big-data-and-machine-learning/,True,$195,Jose Portilla,Learn how to utilize some of the most valuable tech skills on the market today Scala and Spark! In this course we will show you how to use Scala and Spark to analyze Big Data.,6021
1070124,Ionic 2 - The Practical Guide to Building iOS & Android Apps,/ionic-2-the-practical-guide-to-building-ios-android-apps/,True,$180,Maximilian Schwarzmüller,Angular 4 (formerly Angular 2) allows you to create awesome web applications powered by TypeScript / JavaScript. Wouldn't it be great to use that Angular knowledge to build web applications that can be compiled into native mobile apps running on any iOS or Android device?,6988
875976,The Complete Cyber Security Course : Anonymous Browsing!,/the-complete-cyber-security-course-anonymous-browsing/,True,$120,Nathan House,,11911
875974,The Complete Cyber Security Course : Network Security!,/network-security-course/,True,$120,Nathan House,,15713
877160,CompTIA A+ Certification 901. The Total Course,/comptia-a-certification-901-the-total-course/,True,$145,Mike Meyers - Total Seminars,,9096
39292,Microsoft Excel 2013  Advanced. Online Excel Training Course,/advanced-microsoft-excel-2013-online-excel-course/,True,$50,Infinite Skills, Learn the expert features and functions in Microsoft Excel 2013 alongside our expert author to help you get you beyond the basics and have advanced-level proficiency within the Excel 2013 suite,40399
755128,The Complete React Web App Developer Course,/the-complete-react-web-app-developer-course/,True,$85,Andrew Mead,This course was updated to fix issues related to React v15.,14717
671576,Data Science and Machine Learning with Python - Hands On!,/data-science-and-machine-learning-with-python-hands-on/,True,$120,Frank Kane,Data Scientists enjoy one of the top-paying jobs with an average salary of $120000 according to Glassdoor and Indeed. That's just the average! And it's not just about money - it's interesting work too!,30287
736456,Ninja Writing: The Four Levels Of Writing Mastery,/ninja-writing-the-four-levels-of-writing-mastery/,True,$200,Shani Raja,FROM THE CREATOR OF THE BESTSELLING WRITING WITH FLAIR: HOW TO BECOME AN EXCEPTIONAL WRITER COMES THE JEWEL IN THE CROWN OF SHANI RAJA'S WRITING COURSES...,15340
821726,Data Science and Machine Learning Bootcamp with R,/data-science-and-machine-learning-bootcamp-with-r/,True,$195,Jose Portilla,Data Scientist has been ranked the number one job on Glassdoor and the average salary of a data scientist is over $120000 in the United States according to Indeed! Data Science is a rewarding career that allows you to solve some of the world's most interesting problems!,10677
1007240,Power BI A-Z: Hands-On Power BI Training For Data Science!,/mspowerbi/,True,$200,Kirill Eremenko,Learn data visualization through Microsoft Power BI and create opportunities for you or key decision makers to discover data patterns such as customer purchase behavior sales trends or production bottlenecks.,3136
567828,Complete Python Bootcamp: Go from zero to hero in Python,/complete-python-bootcamp/,True,$195,Jose Portilla,Become a Python Programmer!,90043
793796,Microsoft Excel - Excel from Beginner to Advanced,/microsoft-excel-2013-from-beginner-to-advanced-and-beyond/,True,$50,Kyle Pew,Microsoft Excel all in One Package,19243
256758,Learn Linux in 5 Days and Level Up Your Career,/learn-linux-in-5-days/,True,$195,Jason Cannon, JOIN THE OTHER 20000 SUCCESSFUL STUDENTS WHO HAVE ALREADY TAKEN THIS COURSE,42104
994402,Dan Rather on Journalism & Finding the Truth in the News,/danrather/,True,$150,Dan Rather,Whether you’re an avid consumer of the news or just beginning your journalism career renowned news anchor Dan Rather shares his first-hand experiences to guide you through the 21st century state of journalism.,4778
796124,Sounds True's Freedom to Choose Something Different Part 1,/freedom-to-choose-something-different-by-pema-chodron-pt-1/,True,$200,Pema Chödrön,This course by renowned Tibetan Buddhist teacher and writer Pema Chodron is designed to help you break free of old habits and negative patterns. These lessons will assist you in accessing your ability to make better choices in your daily life. You’ll understand not only what it means to be hooked to old patterns and habits but also how you can go beyond them. If you’ve been struggling with reacting in less than ideal ways to various situations whether you lash out write nasty letters or shut down this course will teach you how to change those patterns and react in a more grounded calm way.   Recognize and Release Negative Patterns of Behavior,9683
308690,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,/forex-trading/,True,$195,Kirill Eremenko,Learn everything you need to know to start Trading on the Forex Market today!,14639
396876,Learning Python for Data Analysis and Visualization,/learning-python-for-data-analysis-and-visualization/,True,$195,Jose Portilla,PLEASE READ BEFORE ENROLLING:,44200
903744,Python for Data Science and Machine Learning Bootcamp,/python-for-data-science-and-machine-learning-bootcamp/,True,$195,Jose Portilla,Are you ready to start your path to becoming a Data Scientist!,27896
822660,Pass the Unity Certified Developer Exam - Lifetime Access,/unitycert/,True,$195,Ben Tristem,Want to pass Unity's new Certified Unity Developer exam?  This course is all you need to prepare for and pass the exam in just one week.,9779
1027180,The Complete Video Production Bootcamp,/video-production-bootcamp/,True,$200,Phil Ebiner,This online video production course will teach you how to make amazing videos whether you use a smartphone webcam DSLR mirrorless or professional camera.,5356
929844,Start Using Wireshark to Hack like a Pro,/start-using-wireshark-to-hack-like-a-pro/,True,$40,Kevin Cardwell,This course will cover the process for conducting protocol analysis. This will serve as a foundation for the skill required for a number of different types of careers. Protocol analysis is the technique of analyzing what is or has taken place on a network. This is used by Security Operations Center analysts as well as network forensics investigators.,3630
821658,How Retargeting Works–The Complete Guide To Retargeting Ads!,/how-retargeting-works/,True,$175,Isaac Rudansky,Hi I'm Isaac Rudansky and welcome to my complete remarketing / retargeting course where you're going to learn how to profitably re-engage with your abandoning website visitors to get them to come back to your site at the right time and with the right message.,6447
888716,Introduction to Finance Accounting Modeling and Valuation,/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,True,$200,Prof. Chris Haroun,** ACCORDING TO BUSINESS INSIDER: "Haroun is one of the highest rated professors on Udemy so you can expect to be in good hands through the course of your education." **  He is the author of the best selling business course on Udemy this year called 'An Entire MBA in 1 Course',8338
807904,Deep Learning: Convolutional Neural Networks in Python,/deep-learning-convolutional-neural-networks-theano-tensorflow/,True,$120,Lazy Programmer Inc.,This is the 3rd part in my Data Science and Machine Learning series on Deep Learning in Python. At this point you already know a lot about neural networks and deep learning including not just the basics like backpropagation but how to improve it using modern techniques like momentum and adaptive learning rates. You've already written deep neural networks in Theano and TensorFlow and you know how to run code using the GPU.,5257
764164,The Complete Web Developer Course 2.0,/the-complete-web-developer-course-2/,True,$200,Rob Percival,You’re here because you’re ready to start building professional career-boosting websites.,98014
446134,Ultimate Web Designer & Developer Course: Build 23 Projects!,/web-developer-course/,True,$200,Brad Hussey,COURSE UPDATED – 36 New Lectures!,29670
58207,User Experience Design Fundamentals,/user-experience-design-fundamentals/,True,$95,Joe Natoli,   Are your web conversion rates low? Do you know whether your web site is effective at meeting your goals?  Do users get "stuck" and aren't able to complete the tasks they want to?  Are your forms effective? How can your mobile app be improved?   	    It's becoming easier and easier to create web sites and mobile apps-- But harder and harder to measure the effectiveness of these applications. In Joe Natoli's well-designed course User Experience Design Fundamentals you'll learn how to create effective web sites mobile sites and mobile applications that encourage conversions  	    and leave users wanting more.   	    It's not enough to simply have a web presence -- you must have a web presence that's effective to be successful.  In this dynamic course Joe will guide you through the critical elements of user experience -- strategy scope structure skeleton and surface. As you learn you'll be able to apply the knowledge Joe teaches in dynamic lab exercises-- and later to your own work as a developer or designer.   	    If you're a designer moving into a more complex digital world or a developer who has to occasionally function as a designer as well this course is for you. You'll feel more confident as you make design related decisions about layout color information design and typography after completing this exciting course.,43846
555100,iOS 9 and Swift 2: From Beginner to Paid Professional,/ios9-swift/,True,$45,Mark Price,iOS 9 and Swift 2 developers are some of the highest paid coders throughout the planet right now.  There couldn't be a better time to join the world of app development.,36764
993480,Seth Godin's Value Creation Master Class,/a-master-class-in-value-creation/,True,$85,Seth Godin,A new course from one of Udemy's most popular teachers.,2608
563066,Shell Scripting: Discover How to Automate Command Line Tasks,/shell-scripting-linux/,True,$95,Jason Cannon,JOIN THE OTHER 20000 SUCCESSFUL STUDENTS WHO HAVE ALREADY MASTERED SHELL SCRIPTING AND THE LINUX OPERATING SYSTEM WITH ONE OF MY TOP RATED COURSES!,12450
918390,Natural Language Processing with Deep Learning in Python,/natural-language-processing-with-deep-learning-in-python/,True,$120,Lazy Programmer Inc.,In this course we are going to look at advanced NLP.,4507
918390,Natural Language Processing with Deep Learning in Python,/natural-language-processing-with-deep-learning-in-python/,True,$120,Lazy Programmer Inc.,In this course we are going to look at advanced NLP.,4507
982844,How to Create an Empire on Airbnb without Owning a Home,/how-to-create-an-empire-on-airbnb-without-owning-a-home/,True,$195,David Vu,From the creator of one of the best top selling courses in the business category we bring you this New Course on Airbnb!,3410
887814,Deep Learning: Recurrent Neural Networks in Python,/deep-learning-recurrent-neural-networks-in-python/,True,$120,Lazy Programmer Inc.,Like the course I just released on Hidden Markov Models Recurrent Neural Networks are all about learning sequences - but whereas Markov Models are limited by the Markov assumption Recurrent Neural Networks are not - and as a result they are more expressive and more powerful than anything we’ve seen on tasks that we haven’t made progress on in decades.,4686
80940,Build Websites from Scratch with HTML & CSS,/build-website-scratch/,True,$145,Brad Hussey,  	HTML and CSS are the two most important languages for a new web developer to learn. They are also the easiest. If you’ve always wanted to build webpages but were intimidated by the code this course will help you learn your first two languages quickly and easily.,50780
84792,Body Language for Entrepreneurs,/body-language-for-entrepreneurs/,True,$200,Vanessa Van Edwards,  	     Do you want to have more business success? Mastering body language is the missing ingredient for many business owners. Nonverbal communication can not only help you be more effective in your business dealings but it can also give you an added edge above competitors.,21752
383204,The Professional Ruby on Rails Developer,/pro-rubyonrails/,True,$100,Mashrur Hossain,** Course updated August 2015!! **,17286
904462,The Complete Elixir and Phoenix Bootcamp,/the-complete-elixir-and-phoenix-bootcamp-and-tutorial/,True,$50,Stephen Grider,Elixir and Phoenix are two of the hottest technologies of 2017.,4284
693700,The Complete Salesforce Administrator Certification Course,/salesforce-administrator/,True,$195,Mike Wheeler,Salesforce is now the 7th most in-demand IT skill on job postings worldwide. Now is a great time to learn Salesforce and change your career to the cloud.,12250
591930,Become a SuperLearner V2: Learn Speed Reading & Boost Memory,/become-a-superlearner-2-speed-reading-memory-accelerated-learning/,True,$145,Jonathan Levi,One of Udemy's Top Selling Courses of All Time - New & Improved Version 2.5 for 2017!,33900
673654,Become a Product Manager | Learn the Skills & Get the Job,/become-a-product-manager-learn-the-skills-get-a-job/,True,$195,Cole Mercer,The most updated and complete Product Management course on Udemy! You'll learn the skills that make up the entire Product Management job and process: from ideation to market research to UX wireframing to prototyping technology metrics and finally to building the product with user stories project management scoping and leadership. We even have interviews with real life PMs Q&A sessions with students and a comprehensive guide to preparing and interviewing for a Product Management job.,19353
1144726,Build a Real-world App with ASP.NET Core and Angular 2+,/aspnet-core-angular/,True,$100,Mosh Hamedani,LAST UPDATE (April 26 2017): Added a new section "Refactoring Towards the Clean Architecture".,2600
944014,Data Science: Supervised Machine Learning in Python,/data-science-supervised-machine-learning-in-python/,True,$120,Lazy Programmer Inc.,In recent years we've seen a resurgence in AI or artificial intelligence and machine learning.,3295
963844,Editing Mastery: How To Edit Writing To Perfection,/editing-mastery/,True,$200,Shani Raja,FROM THE CREATOR OF THE BESTSELLING Writing With Flair: How To Become An Exceptional Writer...,4121
59935,How to Be A Human Lie Detector,/how-to-be-a-human-lie-detector/,True,$100,Vanessa Van Edwards,  	In a ten minute conversation you are likely to be lied to two to three times. You might not even realize how often the people in your life are being deceitful.,20245
381850,Mobile App Design In Sketch 3: UX and UI Design From Scratch,/the-complete-design-course/,True,$30,Rob Percival,---------- MASSIVE UPDATE 7/30/2015 --------------------------------------------------,21984
965832,The Complete Investment Banking Course 2017,/the-complete-investment-banking-course-2016/,True,$195,365 Careers, ,6543
164058,The Ultimate Excel Programmer Course,/ultimate-excel-programmer/,True,$200,Daniel Strong, Teach Excel to Do Your Work FOR YOU. . .,51465
405282,PHP for Beginners -Become a PHP Master - Project Included,/php-for-complete-beginners-includes-msql-object-oriented/,True,$200,Edwin Diaz,COURSE UP TO DATE,25148
513244,Data Science A-Z™: Real-Life Data Science Exercises Included,/datascience/,True,$200,Kirill Eremenko,Extremely Hands-On... Incredibly Practical... Unbelievably Real!,37014
886614,Accelerated ES6 JavaScript Training,/es6-bootcamp-next-generation-javascript/,True,$110,Maximilian Schwarzmüller,Prepare for the Future of JavaScript!,4532
258316,Learn to Code by Making Games - Complete C# Unity Developer,/unitycourse/,True,$195,Ben Tristem,The course is continually updated a major improvement was made in Glitch Garden in March 2016 and over 30 new quiz questions were added in June 2016.,160567
642102,Learn How To Code: Google's Go (golang) Programming Language,/learn-how-to-code/,True,$35,Todd McLeod,Go is an open source programming language that makes it easy to build simple reliable and efficient software.,47378
714724,Learn Docker Technologies for DevOps and Developers,/docker-tutorial-for-devops-run-docker-containers/,True,$30,James Lee,What is this course about:,17287
